id,payment ,firstName ,lastName ,frequency_of_arrival ,phoneNumber ,product ,reliability ,quantity ,gender 
48,17038,Honoria,Linklater,Yearly,378-403-3078,equipment,0,714,Male
49,13350,Hilda,Lower,Monthly,872-306-4761,food,0,953,Female
50,6739,Althea,Trengove,Once,858-653-3200,equipment,1,39,Male
51,8120,Lezlie,Cormack,Never,298-923-6698,equipment,0,902,Male
52,16696,Karena,Wybern,Seldom,632-860-2873,equipment,0,790,Male
53,13635,Gregory,German,Seldom,396-826-2959,food,1,930,Female
54,15533,Correy,Crowcombe,Daily,858-811-3643,equipment,1,771,Male
55,14083,Roseanna,Pressnell,Often,495-902-8014,food,1,648,Female
56,6469,Rozalie,Endrici,Weekly,317-852-1453,equipment,0,824,Male
57,15878,Kaleena,O'Kennavain,Daily,909-464-9895,equipment,1,829,Female
58,11821,Maggee,Brimicombe,Often,715-696-0411,equipment,0,266,Female
59,8884,Ruy,Vedeneev,Often,438-162-3421,equipment,0,14,Female
60,11329,Kirk,Matejic,Often,194-233-4272,equipment,0,697,Female
61,6091,Vicky,Scudder,Seldom,670-290-6651,equipment,1,836,Female
62,19037,Charline,Webben,Monthly,380-171-9696,equipment,0,130,Male
63,7527,Evelyn,Ivushkin,Seldom,156-722-5211,food,1,889,Male
64,5619,Inga,Ehrat,Daily,917-516-3377,equipment,1,462,Male
65,7559,Mady,Kingzet,Seldom,792-346-5609,equipment,1,18,Female
66,8119,Iosep,Kippin,Yearly,341-492-9914,food,1,26,Male
67,15043,Marcia,Linklater,Monthly,952-728-6038,equipment,0,552,Female
68,10000,Harwilll,Natwick,Monthly,559-580-1587,equipment,1,645,Female
69,19450,Gabriellia,Milella,Often,926-193-2977,food,1,614,Male
70,16234,Berry,Grellier,Weekly,332-333-8829,food,1,272,Female
71,6744,Jaclin,Skitterel,Seldom,650-973-1264,equipment,0,597,Female
72,19143,Stewart,Stiger,Monthly,158-262-9640,equipment,1,872,Female
73,19198,Juditha,Harmston,Seldom,970-490-2476,food,1,326,Male
74,19313,Morty,Elesander,Seldom,331-806-7573,food,1,672,Male
75,14340,Bartolomeo,Canedo,Once,686-798-1604,equipment,1,961,Female
76,17644,Katinka,Dillinton,Once,254-900-9596,food,0,34,Male
77,7088,Vernon,Bill,Once,848-630-6309,food,0,170,Male
78,5279,Warde,Jerrans,Daily,230-720-9392,equipment,0,815,Female
79,12044,Deane,enzley,Never,930-165-8923,equipment,0,493,Male
80,11667,Tania,Plevin,Once,253-730-6174,equipment,0,815,Female
81,19090,Hi,Goosnell,Seldom,206-915-5343,equipment,0,548,Male
82,16001,Tris,Pretious,Seldom,878-755-3601,food,1,397,Male
83,10952,Cherry,Akeherst,Seldom,160-639-4281,equipment,1,792,Male
84,10984,Celene,Denziloe,Yearly,753-150-0160,food,0,371,Male
85,15059,Josh,Ollerhead,Never,952-710-3133,equipment,0,460,Female
86,14399,Yvette,MacBrearty,Yearly,142-625-9991,equipment,1,776,Female
87,7610,Corry,Blackmoor,Daily,173-161-8769,equipment,0,861,Male
88,14089,Viole,Fison,Weekly,500-479-3879,food,1,337,Female
89,10437,Aurelie,Alcido,Often,548-251-0763,food,1,618,Female
90,17323,Leeann,Boote,Often,802-316-6363,food,1,543,Female
91,10668,Raimundo,Delagnes,Never,775-409-8454,equipment,0,106,Male
92,12764,Emerson,Life,Seldom,992-516-1052,food,1,49,Female
93,18836,Roosevelt,Wethered,Monthly,881-553-1016,equipment,0,299,Male
94,8614,Lorin,Truss,Seldom,130-131-2400,equipment,1,769,Male
95,8229,Joaquin,Kynd,Often,951-720-2616,food,1,490,Female
96,8063,Brietta,Petticrow,Never,337-346-5537,equipment,0,167,Male
97,9372,Burlie,Bauchop,Yearly,783-186-4592,food,1,662,Male
98,19763,Clare,Scole,Monthly,199-540-8881,food,1,133,Female
99,18853,Linzy,Partkya,Monthly,734-877-7350,equipment,1,595,Female
100,15655,Dall,Higginbottam,Often,505-950-3308,food,1,462,Female
101,19728,Burgess,Minchinden,Seldom,884-960-5799,food,0,243,Female
102,19425,Patrizius,Walls,Often,751-557-4965,equipment,1,161,Female
103,9818,Antonio,Bradborne,Often,218-145-6755,food,1,550,Female
104,12532,Tiffany,Linfoot,Monthly,901-651-1531,food,1,942,Female
105,9938,Lauralee,Woolner,Monthly,919-786-3340,equipment,1,377,Male
106,10415,Rozalie,Kunrad,Daily,848-453-1733,equipment,1,754,Female
107,12801,Zorah,O'Hear,Yearly,501-370-6714,equipment,1,738,Female
108,18483,Blake,Zammitt,Never,568-743-5808,food,0,255,Male
109,6777,Therine,Mosten,Yearly,449-372-5396,food,0,632,Female
110,18663,Taylor,Mallows,Weekly,806-313-2121,equipment,0,301,Female
111,16128,Norrie,Hainge,Often,858-785-6080,food,0,680,Female
112,6500,Hillary,Della Scala,Weekly,809-281-4209,equipment,1,712,Male
113,11239,Glennie,Benion,Never,667-616-1802,food,1,114,Female
114,5880,Rosalyn,Frichley,Monthly,244-304-7196,equipment,0,998,Male
115,15454,Thorndike,Mussotti,Seldom,389-975-9683,food,1,966,Male
116,19401,Lucinda,Cornbill,Once,157-182-8515,equipment,1,648,Female
117,18409,Shalom,Guitel,Yearly,272-842-9750,food,1,883,Male
118,19357,Chrissy,Bridgstock,Weekly,147-318-4030,food,0,3,Female
119,7718,Link,Rillatt,Yearly,719-153-2000,food,1,750,Male
120,6009,Darla,Butt,Seldom,505-900-7349,equipment,1,114,Female
121,19316,Alain,Hinkens,Often,439-377-1793,equipment,1,840,Male
122,19857,Rustin,Spellworth,Never,780-309-9293,food,1,143,Female
123,16314,Ernestine,Mowday,Once,237-579-2386,food,1,654,Female
124,10070,Mirilla,Sabey,Once,328-446-0703,food,0,146,Female
125,11109,Corette,Walkington,Seldom,952-273-6716,equipment,1,367,Female
126,11630,Keefer,Bewlie,Seldom,334-118-5679,equipment,0,755,Female
127,17849,Henry,Edensor,Never,563-381-5771,food,1,130,Male
128,5482,Gwenni,Vreiberg,Monthly,214-907-0961,food,0,932,Male
129,10048,Ellsworth,Scyone,Once,231-319-4370,food,0,582,Female
130,13314,Lenard,Fludder,Monthly,324-756-2080,food,0,698,Male
131,17088,Hannie,Fridlington,Often,953-304-6182,equipment,0,594,Male
132,19240,Rakel,Plumbe,Daily,843-732-5790,equipment,0,909,Female
133,10127,Tammie,Kobieriecki,Daily,701-512-0230,equipment,1,3,Male
134,12439,Howie,Verecker,Yearly,871-402-7693,equipment,0,749,Male
135,18562,Dick,Whittenbury,Monthly,127-869-1083,food,1,579,Male
136,12442,Wilt,Pulster,Daily,379-187-4956,equipment,1,300,Female
137,8556,Yale,Perrins,Once,812-388-6534,equipment,1,408,Male
138,19371,Leroi,Leppingwell,Yearly,702-438-0890,equipment,1,373,Female
139,12814,Constantine,Breckwell,Weekly,599-205-7501,equipment,0,412,Male
140,10655,Herbie,Bidewell,Once,179-385-2470,equipment,0,366,Female
141,7594,Niko,Semor,Once,252-913-3826,food,0,48,Female
142,19972,Berry,Ewan,Never,384-818-5085,food,1,718,Female
143,16297,Philbert,Dench,Once,194-868-3053,equipment,1,728,Female
144,17566,Eddie,Gisbey,Monthly,391-554-3374,equipment,0,231,Male
145,13294,Kat,Pedwell,Monthly,663-598-6489,food,1,204,Female
146,11027,Georgie,MacKill,Daily,738-630-0740,food,0,319,Male
147,18451,Erin,Gouldstone,Monthly,964-554-9837,equipment,0,490,Male
148,5265,Niki,Collins,Once,945-201-9186,food,1,152,Male
149,9818,Haven,Whitehouse,Weekly,359-835-9572,food,1,904,Female
150,11825,Michaelina,Noir,Seldom,267-848-9254,equipment,1,845,Female
151,15318,Micky,Boarder,Monthly,661-442-3499,equipment,0,138,Female
152,9742,Anita,Kenion,Once,461-834-6991,equipment,0,191,Female
153,7421,Remy,Lush,Once,668-776-2636,food,1,897,Male
154,5654,Georgia,Foulstone,Monthly,853-109-7236,food,0,858,Male
155,19576,Alene,Bofield,Seldom,767-939-0208,food,0,204,Male
156,12194,Ronnie,McPhee,Never,586-862-4086,food,1,919,Male
157,6902,Miquela,Kern,Daily,838-499-2352,equipment,1,435,Male
158,19923,Rogerio,Daltry,Monthly,746-484-5469,equipment,1,894,Female
159,19340,Kelly,Yatman,Once,209-640-8775,equipment,0,247,Female
160,19516,Teressa,Chesney,Once,308-288-8899,food,1,59,Female
161,10308,Isac,Giroldi,Once,702-780-7069,food,1,985,Male
162,6400,Giorgio,Hubble,Seldom,638-146-1690,equipment,1,734,Female
163,17435,Bryn,Guilloton,Weekly,897-348-9962,food,0,24,Female
164,19652,Gaston,Muff,Once,969-970-1834,food,0,978,Male
165,14105,Madelon,Maydway,Weekly,252-330-0393,food,1,204,Male
166,16204,Flor,Gogerty,Often,259-848-5886,equipment,1,764,Female
167,7126,Barnaby,Hewins,Daily,461-211-8892,food,0,293,Female
168,13572,Cornela,Molloy,Daily,498-571-5398,food,1,966,Female
169,13426,Elise,Rubartelli,Monthly,802-822-7990,food,1,591,Female
170,13015,Boonie,Fleming,Seldom,792-504-4398,equipment,0,263,Male
171,19827,Waverley,Sherrocks,Never,111-155-3712,equipment,0,739,Female
172,18746,Mitchel,Glas,Weekly,223-235-5280,food,0,514,Male
173,12916,Leese,Menauteau,Weekly,795-135-8737,food,1,633,Male
174,14744,Whitby,Durrett,Often,474-494-5112,food,1,63,Female
175,8423,Boonie,Heiner,Daily,195-929-6805,equipment,1,681,Male
176,9899,Vincents,Manterfield,Seldom,637-625-1093,food,1,385,Female
177,15136,Janaya,Vannah,Yearly,653-846-5123,equipment,1,841,Male
178,7299,Trey,Whitby,Often,809-195-3256,food,1,73,Female
179,9081,Shanta,Ibbotson,Seldom,821-208-4814,food,1,567,Male
180,6191,Marv,Punton,Weekly,554-164-5502,equipment,1,880,Female
181,5536,Matthus,January,Once,590-996-6057,food,1,760,Female
182,6066,Jabez,Maffezzoli,Seldom,614-524-8051,food,1,824,Male
183,10600,Harcourt,Allingham,Yearly,269-324-9144,food,1,901,Male
184,14948,Bil,Threadkell,Yearly,977-619-8873,food,0,1,Male
185,13388,Lenee,Dumphry,Monthly,116-372-3689,equipment,1,265,Female
186,10255,Graham,Conquest,Seldom,675-124-9267,equipment,1,300,Female
187,6173,Dorine,Winward,Seldom,269-763-7683,food,1,237,Male
188,6656,Field,Priver,Often,139-514-4149,food,0,125,Female
189,6935,Joseph,Sharma,Once,947-753-9448,equipment,1,448,Female
190,8416,Shirleen,Pickless,Once,488-342-5257,equipment,1,956,Female
191,19048,Gerome,Bach,Once,721-369-4878,equipment,1,26,Male
192,14920,Karen,Leven,Daily,294-465-3175,equipment,0,869,Male
193,10708,Alethea,Pearlman,Seldom,720-516-2110,food,0,930,Male
194,16353,Isak,Littlewood,Yearly,930-662-1192,equipment,0,20,Female
195,9987,Mohandis,Huddleston,Seldom,667-635-7996,equipment,1,760,Female
196,18329,Luciano,Kindle,Monthly,802-830-3447,equipment,0,923,Male
197,13968,Josefina,Rannigan,Daily,688-250-8950,food,0,891,Female
198,13869,Tricia,Pavinese,Once,388-650-4496,food,0,699,Female
199,15036,Tristan,Redon,Monthly,703-860-6709,food,0,529,Male
200,17892,Nancie,O'Doohaine,Yearly,116-712-9231,equipment,1,240,Male
201,8493,Xavier,Pakes,Daily,210-367-7423,equipment,0,407,Male
202,15522,Weylin,Sauvage,Once,113-497-6680,equipment,1,975,Male
203,11636,Cash,Kleinzweig,Weekly,935-546-7116,equipment,1,455,Female
204,16411,Ty,Hebditch,Weekly,411-879-8989,equipment,0,586,Female
205,11560,Wallache,Darbyshire,Often,387-135-9555,equipment,0,234,Female
206,19610,Timothee,Fonquernie,Daily,168-839-2976,equipment,1,902,Female
207,8615,Kaiser,Klaes,Daily,376-840-7840,equipment,1,610,Female
208,9711,Lazarus,Pearse,Weekly,273-127-7834,equipment,0,317,Male
209,19252,Ruthann,McDool,Yearly,293-461-8558,food,0,885,Female
210,8844,Olympia,Jaskowicz,Weekly,372-572-8989,equipment,1,760,Female
211,16163,Kean,Janman,Daily,667-389-1006,equipment,0,689,Female
212,16316,Fredrick,Shippam,Daily,940-333-1704,equipment,0,797,Male
213,11005,Nalani,Baress,Once,296-310-1786,food,1,87,Female
214,5975,Laverne,Wyne,Daily,538-805-9088,food,1,286,Female
215,15091,Welsh,Blampy,Daily,404-807-4920,food,1,394,Male
216,15477,Estrellita,Martellini,Once,872-240-3015,equipment,0,441,Male
217,11536,Jard,Howells,Seldom,941-436-8518,food,1,663,Male
218,18938,Agosto,Bister,Daily,795-137-5985,equipment,1,143,Male
219,5883,Zita,Shakesby,Daily,508-875-8811,food,1,940,Male
220,7883,Aggie,Macek,Often,239-572-2390,food,1,135,Female
221,17869,Hanan,Gelder,Once,420-765-3115,equipment,1,355,Male
222,17204,Gunter,Frere,Seldom,184-482-1845,food,1,384,Female
223,17502,Laurene,Puttergill,Monthly,303-306-1223,equipment,1,603,Female
224,12717,Licha,Isakovitch,Monthly,935-888-9852,food,0,68,Male
225,5503,Rozina,Maher,Often,599-117-9404,equipment,1,326,Female
226,17498,Town,Boustred,Weekly,287-373-7776,equipment,0,979,Female
227,17193,Julian,Bim,Yearly,168-739-8494,equipment,1,545,Male
228,19250,Marlin,Jacomb,Often,204-420-6262,food,0,545,Female
229,15457,Farly,Mollett,Never,166-217-1820,equipment,1,452,Male
230,5538,Marrilee,Boldry,Monthly,333-729-2993,food,0,587,Female
231,5397,Noellyn,Bingall,Weekly,661-853-3191,food,0,343,Male
232,9450,Manda,Pietesch,Yearly,885-397-7659,food,0,451,Female
233,7221,Kaile,Bevir,Daily,684-999-0272,equipment,1,464,Female
234,8744,Tiff,Tringham,Never,538-906-3292,equipment,0,532,Male
235,15788,Harold,Kennaird,Daily,557-838-9783,food,0,638,Male
236,8147,Jilli,Atkyns,Daily,613-415-6533,equipment,0,363,Female
237,6199,Antonio,Pleass,Monthly,264-764-3868,food,0,491,Male
238,5262,Nathanial,McCreadie,Often,813-543-8371,equipment,1,799,Male
239,5664,Katina,Ceccoli,Often,394-370-7007,food,1,743,Female
240,18621,Steven,Halden,Often,489-285-5916,food,0,179,Male
241,12506,Betty,Laverock,Often,163-551-7517,food,0,26,Male
242,12266,Cleve,Jeandon,Seldom,743-112-8220,equipment,0,311,Male
243,16002,Silvia,Jentgens,Once,852-206-3989,food,1,67,Female
244,9779,Clare,Rheubottom,Monthly,810-872-3724,food,1,334,Female
245,6634,Annissa,Peoples,Weekly,820-378-7366,food,1,785,Male
246,11225,Yank,Feronet,Daily,890-385-5161,food,1,803,Female
247,12984,Lucias,Zold,Yearly,617-589-9884,food,0,436,Male
248,13429,Ernest,Linfoot,Seldom,977-458-4730,food,0,421,Female
249,10964,Mariette,Vint,Often,935-410-3577,food,1,403,Male
250,9223,Les,Seale,Yearly,969-250-7536,food,0,385,Female
251,9927,Earl,Wanne,Once,548-255-5943,food,0,636,Female
252,19640,Elana,Balogh,Daily,493-347-7961,food,0,373,Female
253,7199,Gaspard,Ailmer,Seldom,287-808-9017,food,1,124,Female
254,8734,Vanessa,Waud,Often,463-207-7021,food,0,919,Male
255,18390,Marcelia,Mavin,Seldom,764-644-9490,food,1,832,Female
256,14052,Barnabe,Footer,Daily,128-853-0143,equipment,0,493,Female
257,10044,Link,Muckart,Monthly,641-444-6312,equipment,0,510,Female
258,14203,Stephie,Eplett,Never,444-309-3715,equipment,1,445,Female
259,8988,Joey,Hagart,Once,724-510-4246,food,0,455,Female
260,8857,Jena,Cregan,Once,249-897-1196,equipment,0,275,Male
261,6878,Imelda,Grier,Monthly,110-594-9259,equipment,0,503,Male
262,16925,Danette,Alwood,Daily,795-280-9293,food,1,909,Male
263,6735,Theresa,Wapol,Never,526-203-7392,food,1,249,Female
264,12323,Berk,Middiff,Daily,245-718-1857,equipment,0,692,Male
265,7113,Agnola,Hirschmann,Daily,387-607-5042,equipment,1,483,Male
266,5983,Luise,Sneath,Weekly,255-388-3830,food,1,22,Male
267,7002,Jamie,Hatchette,Seldom,337-106-3613,food,1,271,Female
268,15437,Isis,Lambillion,Often,923-586-2447,equipment,1,554,Male
269,19924,Tirrell,Coultass,Monthly,579-153-2375,equipment,1,791,Female
270,9169,Roana,Grand,Monthly,132-487-6607,equipment,0,821,Female
271,16867,Garrek,Slowgrove,Seldom,449-727-8582,equipment,1,966,Female
272,5584,Forest,Mainds,Daily,770-227-6439,equipment,0,672,Female
273,16227,Elbert,Rohfsen,Once,735-438-4330,equipment,1,12,Male
274,11472,Heddie,Cullington,Often,571-783-7750,food,0,135,Male
275,7135,Eberhard,Pesak,Yearly,306-733-8848,equipment,0,693,Male
276,11596,Brig,D'Andrea,Often,105-427-0209,equipment,0,5,Female
277,14400,Garrard,Perring,Seldom,889-435-6644,food,0,603,Male
278,14990,Coreen,Haccleton,Yearly,515-897-3202,equipment,1,634,Male
279,12219,Horacio,MacAllaster,Yearly,673-292-7368,food,0,422,Female
280,10919,Inga,Riedel,Often,916-245-6812,food,0,570,Female
281,14489,Alec,Hadcroft,Seldom,693-409-2874,food,0,6,Female
282,10753,Chevalier,Arlidge,Often,788-452-4555,equipment,0,292,Female
283,16791,Devinne,Cohalan,Never,280-261-8712,food,1,582,Female
284,15505,Talbot,Matzaitis,Never,966-134-4057,food,1,970,Female
285,17535,Bill,Curtayne,Often,957-941-8646,equipment,1,874,Male
286,18557,Lenee,Burnel,Once,767-550-0746,food,0,721,Male
287,12355,Ibrahim,Page,Seldom,469-978-7846,equipment,0,754,Male
288,18510,Dee dee,Oakley,Monthly,101-695-5986,food,0,757,Male
289,10727,Umberto,St. Clair,Daily,394-956-9637,food,1,297,Female
290,5069,Theodor,McGerraghty,Daily,939-844-9208,food,0,262,Male
291,18043,Jaclyn,Shawcross,Often,893-638-8710,equipment,0,434,Male
292,12935,Zorah,Jochanany,Never,219-399-7774,food,0,947,Male
293,9177,Sashenka,Divall,Monthly,583-955-5297,food,0,700,Female
294,12023,Lynelle,Musterd,Seldom,445-934-0089,equipment,1,875,Female
295,13062,Burgess,Haggett,Never,604-603-2827,food,0,779,Female
296,12688,Ruby,Frotton,Weekly,610-550-5743,equipment,0,977,Female
297,15676,Dorelle,Vivash,Yearly,534-168-1740,equipment,0,639,Male
298,18675,Perren,Doerling,Yearly,595-328-5804,food,0,399,Male
299,18146,Stacia,Yakushkev,Once,956-524-4757,food,1,527,Female
300,10189,Pen,Pabelik,Monthly,744-108-0231,equipment,1,891,Male
301,9624,Chryste,Elldred,Monthly,741-378-4529,equipment,1,434,Male
302,16870,Calhoun,Ashby,Seldom,746-348-5794,food,1,766,Male
303,17388,Don,Lievesley,Often,750-817-4477,equipment,1,284,Male
304,17674,Heywood,Sandbach,Yearly,335-137-6562,food,0,286,Male
305,18259,Charmion,Ianetti,Yearly,699-313-7858,equipment,0,105,Male
306,17041,Marget,Prawle,Often,948-326-6787,food,0,738,Male
307,14064,Theda,Whittlesea,Monthly,587-387-8644,food,1,365,Female
308,6138,Genni,Durand,Often,110-955-3021,equipment,0,555,Female
309,13278,Dacie,Iacobini,Yearly,252-997-2189,equipment,1,152,Female
310,19301,Michaela,Fierman,Often,360-873-3305,food,0,704,Female
311,17275,Eada,St. Quintin,Daily,945-209-5255,food,1,234,Female
312,8322,Anselma,Gallon,Once,571-167-1360,equipment,1,951,Male
313,7031,Drusy,Corrin,Weekly,481-411-9073,food,0,622,Female
314,8323,Nichols,Badder,Monthly,260-115-9689,equipment,1,653,Female
315,19933,Ludwig,Lippiatt,Never,141-241-7992,equipment,0,176,Male
316,13907,Barrett,Debell,Once,809-698-3620,equipment,0,652,Male
317,11501,Rosene,Challenor,Daily,913-876-2287,equipment,0,104,Male
318,10096,Rina,Perrelli,Daily,463-653-0252,equipment,0,161,Female
319,19533,Regen,Hindmore,Once,102-535-6916,food,0,814,Female
320,6574,Welch,Rollinshaw,Often,430-804-6493,equipment,0,780,Female
321,6427,Demetrius,Elletson,Weekly,758-902-0961,food,1,694,Female
322,14629,Johannes,Darlow,Seldom,447-611-7888,food,0,845,Female
323,11399,Tedie,Fall,Never,442-729-2236,food,0,642,Male
324,8174,Chelsea,Krzyzanowski,Often,802-561-6827,equipment,0,34,Male
325,12227,Gae,Dranfield,Never,469-474-4979,food,0,464,Female
326,14432,Della,Bembrigg,Often,993-138-5169,food,0,504,Female
327,11116,Murvyn,Farley,Never,454-539-1789,equipment,0,60,Female
328,5604,Allayne,Murfill,Yearly,352-845-4436,equipment,1,793,Male
329,18064,Mab,Brummitt,Yearly,286-743-8296,equipment,1,756,Female
330,17538,Deonne,McGookin,Never,154-142-1791,food,1,416,Female
331,5986,Saba,Bushby,Seldom,771-799-6878,food,1,272,Male
332,18904,Tisha,Aleso,Often,152-466-8858,equipment,0,524,Male
333,18113,Farica,Pardy,Never,419-623-0936,equipment,0,615,Female
334,9143,Winifield,Joney,Daily,648-686-4973,food,1,944,Female
335,13643,Richmound,Oakman,Seldom,641-832-0986,equipment,0,684,Male
336,19066,Dinnie,Tapin,Monthly,543-663-7784,equipment,1,150,Male
337,10554,Harman,Smieton,Daily,601-875-8754,food,0,384,Female
338,18709,Chance,Murphy,Daily,108-312-5754,equipment,1,592,Male
339,12523,Dollie,Beiderbeck,Daily,159-580-4347,food,1,9,Male
340,5748,Fidole,Tickner,Weekly,378-706-1156,food,1,349,Female
341,15136,Oralle,Normanvill,Never,159-385-7534,equipment,1,23,Male
342,18485,Bobbie,Seeman,Often,136-992-2912,food,1,235,Male
343,6558,Melisandra,Garces,Never,211-247-7213,food,1,541,Female
344,13803,Dionis,Fallows,Weekly,219-707-3582,food,0,749,Male
345,8982,Basil,Carmen,Yearly,570-484-7116,food,0,341,Female
346,17858,Billye,Baudry,Once,913-645-2134,equipment,0,290,Male
347,8112,Doti,Manie,Often,916-995-4150,equipment,0,877,Male
348,11059,Hyacintha,Flowers,Never,710-822-4697,food,1,945,Female
349,11316,Dru,Hawkings,Often,705-165-0675,equipment,0,348,Female
350,6217,Lek,Townsend,Yearly,511-995-3558,food,0,183,Female
351,19106,Land,Comrie,Yearly,112-667-5297,food,0,283,Female
352,10560,Whitaker,Clayhill,Monthly,918-450-4061,food,1,317,Female
353,6562,Shepherd,Donnersberg,Weekly,992-837-5790,food,0,410,Male
354,5370,Krissy,Padillo,Weekly,707-176-2490,equipment,1,691,Female
355,10138,Bald,Brugsma,Daily,482-289-6637,equipment,0,970,Male
356,19232,Elfrida,Stollwerck,Monthly,225-430-1185,equipment,0,425,Female
357,7652,Darbie,Semper,Seldom,719-945-9850,food,0,875,Male
358,13648,Leanor,Bengtson,Yearly,206-606-8365,equipment,0,971,Female
359,17278,Robina,Romero,Yearly,295-176-4521,food,1,723,Male
360,17579,Guy,Pevreal,Monthly,221-115-1865,equipment,0,763,Female
361,9873,Fitzgerald,Brokenbrow,Yearly,245-581-4134,food,1,60,Female
362,14791,Winfred,Pallister,Once,655-152-2002,equipment,0,33,Male
363,7581,Marika,Aspole,Daily,875-548-2584,food,1,432,Female
364,18983,Pearline,Lally,Often,191-673-2661,equipment,1,639,Male
365,15832,Mignonne,Railton,Monthly,319-959-8656,equipment,0,664,Female
366,11266,Rodrigo,Martinon,Never,455-564-4206,food,0,800,Male
367,11408,Marlyn,Wheelan,Weekly,188-736-4328,equipment,1,591,Female
368,14184,Napoleon,Matyushkin,Monthly,354-318-8944,equipment,1,109,Female
369,15858,Karine,Speek,Seldom,617-790-6472,food,0,164,Male
370,9673,Marilee,Yurinov,Daily,566-802-8255,food,0,206,Female
371,19244,Cherry,Barclay,Once,254-360-4859,food,1,768,Male
372,17007,Elden,Yakutin,Often,475-419-2518,food,1,107,Female
373,8341,Halette,Phipard-Shears,Seldom,518-442-9664,equipment,0,403,Female
374,19478,Alonso,Gilhooly,Often,531-853-1988,food,0,7,Female
375,19328,Tedman,Faireclough,Once,699-498-6872,food,1,928,Female
376,13058,Stevie,Mattinson,Weekly,366-980-9520,equipment,1,142,Female
377,10661,Ruby,Alesi,Yearly,129-856-0474,equipment,0,721,Female
378,14383,Ferdie,Wolverson,Monthly,207-232-0081,equipment,1,53,Female
379,8612,Barron,Natwick,Weekly,894-378-4864,equipment,0,32,Male
380,10069,Loree,Suatt,Yearly,936-293-8368,equipment,1,258,Female
381,12577,Olwen,Sainz,Weekly,463-517-4442,food,1,316,Male
